source_table,source_field,source_type,nullable,sample_data,transformation_rule,sql_logic,lookup_table,default_value,target_table,target_field,target_type,mapping_status
raw.clinical_patients,patient_id,STRING,NO,P-0001,Copy as-is,,,,analytics.fct_clinical_patients,patient_id,STRING,Validated
raw.clinical_patients,first_name,STRING,YES,John,Concatenate first and last name with a single space,,,,analytics.fct_clinical_patients,full_name,STRING,Validated
raw.clinical_patients,cust_email_01,STRING,YES,"  John.DOE@Email.com ",Clean the email: trim whitespace and lowercase,,,,analytics.fct_clinical_patients,email_address,STRING,Validated
raw.clinical_patients,dob,STRING,YES,14/03/1985,"Parse the date of birth. Most rows are YYYY-MM-DD, legacy rows are DD/MM/YYYY; anything else becomes NULL",,,,analytics.fct_clinical_patients,date_of_birth,DATE,Validated
raw.clinical_patients,weight_kg,FLOAT64,YES,82.4,Round to the nearest whole kilogram,,,,analytics.fct_clinical_patients,weight,INT64,Validated
raw.clinical_patients,site_code,STRING,YES,01,Map site code to city name,"CASE site_code WHEN '01' THEN 'Chennai' WHEN '02' THEN 'Mumbai' WHEN '03' THEN 'Delhi' ELSE 'Unknown' END",site_lookup,Unknown,analytics.fct_clinical_patients,site_city,STRING,Validated
raw.clinical_patients,enrolled_flag,STRING,YES,Y,Convert Y/N flag to boolean,(enrolled_flag = 'Y'),,,analytics.fct_clinical_patients,is_enrolled,BOOL,Validated
raw.clinical_patients,visit_count,STRING,YES,3,Copy as-is,,,,analytics.fct_clinical_patients,visit_count,INT64,Validated
raw.clinical_patients,created_at,TIMESTAMP,YES,2026-06-01 09:15:00,Copy as-is,,,,analytics.fct_clinical_patients,created_ts,TIMESTAMP,Validated
raw.clinical_patients,created_at,TIMESTAMP,YES,2026-06-01 09:15:00,Stamp the load time,CURRENT_TIMESTAMP(),,,analytics.fct_clinical_patients,_loaded_at,TIMESTAMP,Validated
raw.clinical_patients,site_code,STRING,YES,01,Keep raw site code for QA,,,,analytics.fct_clinical_patients,site_code_raw,STRING,In Progress
